Calculated Z (nm)   Deflection {nN)     
Extend Data
0.000000e+000       -9.971237e-002      
3.906250e-001       -9.800720e-002      
7.812500e-001       -9.897995e-002      
1.171875e+000       -9.949493e-002      
1.562500e+000       -9.912872e-002      
1.953125e+000       -9.994125e-002      
2.343750e+000       -9.847641e-002      
2.734375e+000       -9.907150e-002      
3.125000e+000       -9.712601e-002      
3.515625e+000       -9.543228e-002      
3.906250e+000       -9.483719e-002      
4.296875e+000       -9.757233e-002      
4.687500e+000       -9.529495e-002      
5.078125e+000       -9.500885e-002      
5.468750e+000       -9.597015e-002      
5.859375e+000       -9.681702e-002      
6.250000e+000       -9.685135e-002      
6.640625e+000       -9.662247e-002      
7.031250e+000       -9.381866e-002      
7.421875e+000       -9.468842e-002      
7.812500e+000       -9.670258e-002      
8.203125e+000       -9.345245e-002      
8.593750e+000       -9.152985e-002      
8.984375e+000       -9.451675e-002      
9.375000e+000       -9.488297e-002      
9.765625e+000       -9.538651e-002      
1.015625e+001       -9.408188e-002      
1.054688e+001       -9.352112e-002      
1.093750e+001       -9.115219e-002      
1.132813e+001       -9.171295e-002      
1.171875e+001       -9.269714e-002      
1.210938e+001       -9.227371e-002      
1.250000e+001       -9.238815e-002      
1.289063e+001       -9.265137e-002      
1.328125e+001       -9.341812e-002      
1.367188e+001       -9.012222e-002      
1.406250e+001       -8.880615e-002      
1.445313e+001       -9.180450e-002      
1.484375e+001       -9.328079e-002      
1.523438e+001       -9.149551e-002      
1.562500e+001       -9.009933e-002      
1.601563e+001       -9.140396e-002      
1.640625e+001       -9.025955e-002      
1.679688e+001       -8.927536e-002      
1.718750e+001       -8.961868e-002      
1.757813e+001       -9.062576e-002      
1.796875e+001       -8.993912e-002      
1.835938e+001       -9.032822e-002      
1.875000e+001       -9.059143e-002      
1.914063e+001       -8.888626e-002      
1.953125e+001       -8.567047e-002      
1.992188e+001       -8.983612e-002      
2.031250e+001       -8.659744e-002      
2.070313e+001       -8.897781e-002      
2.109375e+001       -8.821106e-002      
2.148438e+001       -8.729553e-002      
2.187500e+001       -8.715820e-002      
2.226563e+001       -8.787918e-002      
2.265625e+001       -8.795929e-002      
2.304688e+001       -8.318710e-002      
2.343750e+001       -9.038544e-002      
2.382813e+001       -8.735275e-002      
2.421875e+001       -8.746719e-002      
2.460938e+001       -8.530426e-002      
2.500000e+001       -8.580780e-002      
2.539063e+001       -8.609390e-002      
2.578125e+001       -8.639145e-002      
2.617188e+001       -8.688354e-002      
2.656250e+001       -8.569336e-002      
2.695313e+001       -8.777618e-002      
2.734375e+001       -8.576202e-002      
2.773438e+001       -8.349609e-002      
2.812500e+001       -8.769608e-002      
2.851563e+001       -8.426285e-002      
2.890625e+001       -8.658600e-002      
2.929688e+001       -8.629990e-002      
2.968750e+001       -8.581924e-002      
3.007813e+001       -8.575058e-002      
3.046875e+001       -8.246613e-002      
3.085938e+001       -8.415985e-002      
3.125000e+001       -8.359909e-002      
3.164063e+001       -8.375931e-002      
3.203125e+001       -8.117294e-002      
3.242188e+001       -8.124161e-002      
3.281250e+001       -8.270645e-002      
3.320313e+001       -8.353043e-002      
3.359375e+001       -8.437729e-002      
3.398438e+001       -8.299255e-002      
3.437500e+001       -8.538437e-002      
3.476563e+001       -8.065796e-002      
3.515625e+001       -8.418274e-002      
3.554688e+001       -8.238602e-002      
3.593750e+001       -8.133316e-002      
3.632813e+001       -8.000565e-002      
3.671875e+001       -8.234024e-002      
3.710938e+001       -8.275223e-002      
3.750000e+001       -8.276367e-002      
3.789063e+001       -8.258057e-002      
3.828125e+001       -8.395386e-002      
3.867188e+001       -8.274078e-002      
3.906250e+001       -8.433151e-002      
3.945313e+001       -8.116150e-002      
3.984375e+001       -8.163071e-002      
4.023438e+001       -8.031464e-002      
4.062500e+001       -8.139038e-002      
4.101563e+001       -7.990265e-002      
4.140625e+001       -7.901001e-002      
4.179688e+001       -7.809448e-002      
4.218750e+001       -8.284378e-002      
4.257813e+001       -8.165359e-002      
4.296875e+001       -7.832336e-002      
4.335938e+001       -8.049774e-002      
4.375000e+001       -8.134460e-002      
4.414063e+001       -7.858658e-002      
4.453125e+001       -7.995987e-002      
4.492188e+001       -8.028030e-002      
4.531250e+001       -8.214569e-002      
4.570313e+001       -7.637787e-002      
4.609375e+001       -7.890701e-002      
4.648438e+001       -7.781982e-002      
4.687500e+001       -7.857513e-002      
4.726563e+001       -8.015442e-002      
4.765625e+001       -7.793427e-002      
4.804688e+001       -7.881546e-002      
4.843750e+001       -7.622910e-002      
4.882813e+001       -7.991409e-002      
4.921875e+001       -7.901001e-002      
4.960938e+001       -7.848358e-002      
5.000000e+001       -7.541656e-002      
5.039063e+001       -8.054352e-002      
5.078125e+001       -7.943344e-002      
5.117188e+001       -7.773972e-002      
5.156250e+001       -7.636642e-002      
5.195313e+001       -7.662964e-002      
5.234375e+001       -7.610321e-002      
5.273438e+001       -7.472992e-002      
5.312500e+001       -7.619476e-002      
5.351563e+001       -7.494736e-002      
5.390625e+001       -7.767105e-002      
5.429688e+001       -7.369995e-002      
5.468750e+001       -7.580566e-002      
5.507813e+001       -7.574844e-002      
5.546875e+001       -7.464981e-002      
5.585938e+001       -7.883835e-002      
5.625000e+001       -7.698441e-002      
5.664063e+001       -7.556534e-002      
5.703125e+001       -7.479858e-002      
5.742188e+001       -7.695007e-002      
5.781250e+001       -7.667542e-002      
5.820313e+001       -7.533646e-002      
5.859375e+001       -7.802582e-002      
5.898438e+001       -7.540512e-002      
5.937500e+001       -7.178879e-002      
5.976563e+001       -7.427216e-002      
6.015625e+001       -7.770538e-002      
6.054688e+001       -7.448959e-002      
6.093750e+001       -7.744217e-002      
6.132813e+001       -7.580566e-002      
6.171875e+001       -7.403183e-002      
6.210938e+001       -7.468414e-002      
6.250000e+001       -7.573700e-002      
6.289063e+001       -7.371140e-002      
6.328125e+001       -7.632065e-002      
6.367188e+001       -7.350540e-002      
6.406250e+001       -7.313919e-002      
6.445313e+001       -7.486725e-002      
6.484375e+001       -7.445526e-002      
6.523438e+001       -7.507324e-002      
6.562500e+001       -7.460403e-002      
6.601563e+001       -7.402039e-002      
6.640625e+001       -7.511902e-002      
6.679688e+001       -7.509613e-002      
6.718750e+001       -7.299042e-002      
6.757813e+001       -7.453537e-002      
6.796875e+001       -7.233810e-002      
6.835938e+001       -7.217789e-002      
6.875000e+001       -7.230377e-002      
6.914063e+001       -7.415771e-002      
6.953125e+001       -7.705307e-002      
6.992188e+001       -7.289886e-002      
7.031250e+001       -7.265854e-002      
7.070313e+001       -7.497025e-002      
7.109375e+001       -7.436371e-002      
7.148438e+001       -7.318497e-002      
7.187500e+001       -7.256699e-002      
7.226563e+001       -7.143402e-002      
7.265625e+001       -7.248688e-002      
7.304688e+001       -7.079315e-002      
7.343750e+001       -7.415771e-002      
7.382813e+001       -7.398605e-002      
7.421875e+001       -7.562256e-002      
7.460938e+001       -7.446671e-002      
7.500000e+001       -7.440948e-002      
7.539063e+001       -7.043839e-002      
7.578125e+001       -7.032394e-002      
7.617188e+001       -7.056427e-002      
7.656250e+001       -7.105637e-002      
7.695313e+001       -7.300186e-002      
7.734375e+001       -7.677841e-002      
7.773438e+001       -6.913376e-002      
7.812500e+001       -7.079315e-002      
7.851563e+001       -7.309341e-002      
7.890625e+001       -7.175446e-002      
7.929688e+001       -7.223511e-002      
7.968750e+001       -7.396317e-002      
8.007813e+001       -7.561111e-002      
8.046875e+001       -7.155991e-002      
8.085938e+001       -7.285309e-002      
8.125000e+001       -7.430649e-002      
8.164063e+001       -7.269287e-002      
8.203125e+001       -7.327652e-002      
8.242188e+001       -6.962585e-002      
8.281250e+001       -7.153702e-002      
